Device_Version,Description,Max_Char,TR,EN,RU,UKR,FR,SL
1000,#MSG_GROUP_OUTPUTFUNC#,10,T2 Ariza,T2 Alarm,Трев Т2,Трив Т2,Alarme T2,ALARM T2
1000,#MSG_GROUP_OUTPUTFUNC#,10,T2 D.Ariza,T2 L.Alarm,НизкТемпТ2,НизТемпТ2,Alm T2 Bas,ALM-NIZ T2
1000,#MSG_GROUP_OUTPUTFUNC#,10,T2 Y.Ariza,T2 H.Alarm,ВыскТемпТ2,ВисТемпТ2,Alm T2 Ht,ALM-VYS T2
1000,#MSG_GROUP_OUTPUTFUNC#,10,T2 D.Uyari,T2 L.Warn,НизкТемпТ2,НизТемпТ2,Attn T2Bas,VAR-NIZ T2
1000,#MSG_GROUP_OUTPUTFUNC#,10,T2 Y.Uyari,T2 H.Warn,ВыскТемпТ2,ВисТемпТ2,Attn T2Ht,VAR-VYS T2
1000,#MSG_GROUP_INPUTPOLARITY#,10,NO,NO,Н.Откр,NO,NO,NO
1000,#MSG_GROUP_INPUTPOLARITY#,10,NC,NC,Н.Закр,NC,NC,NC
1000,#MSG_GROUP_OUTPUTPOLARITY#,10,NO,NO,Н.Откр,NO,NO,NO
1000,#MSG_GROUP_OUTPUTPOLARITY#,10,NC,NC,Н.Закр,NC,NC,NC
1000,#MSG_GROUP_INPUTTYPE#,10,Mantik,Logic,Logic,Logic,Logique,Logique
1000,#MSG_GROUP_INPUTTYPE#,10,Yukselen,Rising,Rising,Rising,En Hausse,En Hausse
1000,#MSG_GROUP_INPUTTYPE#,10,Dusen,Falling,Falling,Falling,En Baisse,En Baisse
1000,#MSG_GROUP_INPUTTYPE#,10,CiftKenar,Both,Both,Both,Les Deux,Les Deux
1000,#MSG_GROUP_OUTPUTTYPE#,10,Mantik,Logic,Logic,Logic,Logique,Logique
1000,#MSG_GROUP_OUTPUTTYPE#,10,Yukselen,Rising,Rising,Rising,En Hausse,En Hausse
1000,#MSG_GROUP_OUTPUTTYPE#,10,Dusen,Falling,Falling,Falling,En Baisse,En Baisse
1000,#MSG_GROUP_OUTPUTTYPE#,10,CiftKenar,Both,Both,Both,Les Deux,Les Deux
1000,#MSG_GROUP_STARTRESOURCE#,10,PAN-DI-MBS,PAN-DI-MBS,PAN-DI-MBS,PAN-DI-MBS,PAN-DI-MBS,PAN-DI-MBS
1000,#MSG_GROUP_STARTRESOURCE#,10,Panel,Panel,Панель,Панель,Panneau,PANELY
1000,#MSG_GROUP_STARTRESOURCE#,10,DijitalGrs,DigitalInp,Цифр Вход,Цифр Вхід,Ent.Numer.,DIGITL VST
1000,#MSG_GROUP_STARTRESOURCE#,10,ModbusRTU,ModbusRTU,МодБас RTU,МодБас RTU,RTUModbus,MODBUS RTU
1000,#MSG_GROUP_STARTRESOURCE#,10,DI-Modbus,DI-Modbus,МодБасЦфВх,DI-Modbus,DI-Modbus,DI-MODBUS
1000,#MSG_GROUP_COMP_MODE#,10,Manuel,Manual,В ручную,В ручну,Manuel,MANUALNE
1000,#MSG_GROUP_COMP_MODE#,10,Otomatik,Auto,Авто,Авто,Auto,AUTO
2004,#MSG_GROUP_COMP_MODE#,10,Paralel,Parallel,Parallel,Parallel,Parallèle,Parallèle
1000,#MSG_GROUP_STATE#,16,Ariza Kayitlari ,Alarm Logs      ,Записи Тревог,Записи Тривог,Journaux Alm,ZAZNAM ALARMOV
1000,#MSG_GROUP_STATE#,16,Servis Sureleri ,Maint.Counters  ,Счетчики ТО,Лічильники ТО,Compt. Maint.,POCITADLA UDRZBY
1000,#MSG_GROUP_STATE#,16,Faz Voltajlari  ,Phase Voltages    ,Напряжение фаз,Напруга фаз,Tensions Phase,NAPATIA FAZ
1000,#MSG_GROUP_STATE#,16,Dijital G/C     ,Digital I/O     ,Цифровые Вх/Вых,Цифрові Вх/Вих,I/O Numerique,DIGITL VSTU/VYST
1000,#MSG_GROUP_STATE#,16,Besleme Voltaj. ,Supply Voltages ,Напряж питания,Напруга живл,Tensions Alim.,NAPAJACIE NAPATI
1000,#MSG_GROUP_STATE#,16,Komp. Sayaclari ,Comp. Counters  ,ВремяРаботыКомпр,ЧасРоботиКомпрес,Comp. Compteurs,POCITA KOMPRESOR
1008,#MSG_GROUP_STATE#,16,Cihaz Bilgisi ,Device Info ,Device Info ,Device Info ,Info Appareil ,INFO O ZARIADENI
1000,#MSG_GROUP_STATE#,16,Inverter Takip ,Inverter Monitor ,инвертор Монитор,інвертор Монітор,Monitor Invers.,MONITOR MENICA
2004,#MSG_GROUP_STATE#,16,Paralel Kontrol,Parallel Control,Parallel Control,Parallel Control,Ctrl Parallèle,Ctrl Parallèle
1000,#MSG_GROUP_FAULTS#,16,Cikis Bsn. Uyari,Out Press. Warn,ПредупДавлЛинии,ПоперТискЛінії,Attn Press.Ext,VAROV-VYSTU TLAK
1000,#MSG_GROUP_FAULTS#,16,Ic Basinc Uyari,Int. Press. Warn,Предуп Внут Давл,ПоперВнутрТиск,Attn Press.Int,VAROV- VNUT TLAK
1000,#MSG_GROUP_FAULTS#,16,Bsn Farki Uyari,Delta Press Warn,Пред разн. Давл.,ПоперРізнТиску,Attn Press.Delta,VAROV-ROZDI TLAK
1000,#MSG_GROUP_FAULTS#,16,Sck1. Ust Uyari,Temp1 High Warn,Предуп Выс Темп1,ПоперВисТемп1,Attn Temp1 Ht,VAROV-VYS T TEP1
1000,#MSG_GROUP_FAULTS#,16,Sck1. Alt Uyari,Temp1 Low Warn,Предуп Низ Темп1,ПоперНизТемп1,Attn Temp1 Basse,VAROV-NIZKA TEP1
1000,#MSG_GROUP_FAULTS#,16,Elek.Kesinti,Power Intrpt,Отсутст напряж,Відсутн. живл.,Interrup. Alim.,PRERUSEN NAPAJAN
1000,#MSG_GROUP_FAULTS#,16,Servis Seviye1,Service Level1,Сервис обсл1,Сервіс обсл1,Niveau1 Service,UROVEN SLUZBY 1
1000,#MSG_GROUP_FAULTS#,16,Sck2 Ust Uyari,Temp2 High Warn,ПредупВысТемп2,ПоперВисТемп2,Attn Temp2 Ht,VAROV-VYSO TEPL2
1000,#MSG_GROUP_FAULTS#,16,Sck2 Alt Uyari,Temp2 Low Warn,Предуп Низ Темп2,ПоперНизТемп2,Attn Temp2 Basse,VAROV-NIZKA TEP2
1000,#MSG_GROUP_FAULTS#,16,Vr Yuksek Uyari,Vr High Warn,ПредупВысФаза R,ПоперВисФаза R,Attn Vr Ht,VAROV- VYSOKE Vr
1000,#MSG_GROUP_FAULTS#,16,Vs Yuksek Uyari,Vs High Warn,ПредупВысФаза S,ПоперВисФаза S,Attn Vs Ht,VAROV- VYSOKE Vs
1000,#MSG_GROUP_FAULTS#,16,Vt Yuksek Uyari,Vt High Warn,ПредупВысФаза T,ПоперВисФаза T,Attn Vt Ht,VAROV- VYSOKE Vt
1000,#MSG_GROUP_FAULTS#,16,Vr Dusuk Uyari,Vr Low Warn,ПредупНизФаза R,ПоперНизФаза R,Attn Vr Basse,VAROV - NIZKE Vr
1000,#MSG_GROUP_FAULTS#,16,Vs Dusuk Uyari,Vs Low Warn,ПредупНизФаза S,ПоперНизФаза S,Attn Vs Basse,VAROV - NIZKE Vs
1000,#MSG_GROUP_FAULTS#,16,Vt Dusuk Uyari,Vt Low Warn,ПредупНизФаза T,ПоперНизФаза T,Attn Vt Basse,VAROV - NIZKE Vt
1000,#MSG_GROUP_FAULTS#,16,Fre.Yuksek Uyari,Freq High Warn,ПредВысЧастота,ПоперВисЧаст,Attn Freq. Ht,VAROV - VYS FREK
1000,#MSG_GROUP_FAULTS#,16,Fre.Dusuk Uyari,Freq Low Warn,ПредНизЧастота,ПоперНизЧаст,Attn Freq. Basse,VAROV-NIZKA FREK
1000,#MSG_GROUP_FAULTS#,16,Motor Termik,Motor Overload,Мотор перегружен,Перевант Двиг,Surcharge Moteur,PRETAZENIE MOTOR
1000,#MSG_GROUP_FAULTS#,16,Seperator Filtre,Seperator Filter,Фильтр Сепаратор,Фільтр Сепаратор,Filtre Separat.,FILTER SEPARATOR
1000,#MSG_GROUP_FAULTS#,16,Fan Termik,Fan Overload,ВентиляторПерегр,Перевант Вентил,Surcharge Vent.,PRETAZENIE VENTI
1000,#MSG_GROUP_FAULTS#,16,Faz Sirasi - DI,Phase Seq - DI,Цифр.Вх.Посл.Фаз,Цифр.Вх.Посл.Фаз,Seq. Phase - DI,PORADIE FAZ - DI
1000,#MSG_GROUP_FAULTS#,16,Acil Stop,Emergency Stop,Аварийная кнопка,Аварійна кнопка,Arret Urg.,NUDZOVE ZASTAVEN
1000,#MSG_GROUP_FAULTS#,16,Cikis Bsn. Ariza,Out Press. Alarm,Трев Выс Давлен,Трив.Вис.Тиск,Alm Press. Ext.,ALRM-VYSTUP TLAK
1000,#MSG_GROUP_FAULTS#,16,Ic Basinc Ariza,Int.Press. Alarm,Выс ВнутДавление,Вис ВнутТиск,Alm Press. Int.,ALRM-INTERN TLAK
1000,#MSG_GROUP_FAULTS#,16,Bsn Farki Ariza,DeltaPress Alarm,Трев разн. Давл.,Трив.Різн.Тиску,Alm PressDelta,ALRM-ROZDIE TLAK
1000,#MSG_GROUP_FAULTS#,16,Sck1 Ust Ariza,Temp1 High Alarm,Трев Выс Темп1,Трив.Вис.Темп1,AlmTemp1 Ht,ALRM-VYS  TEPL1
1000,#MSG_GROUP_FAULTS#,16,Sck1 Alt Ariza,Temp1 Low  Alarm,Трев Низ Темп1,Трив.Низ.Темп1,AlmTemp1 Basse,ALM-NIZKA  TEPL1
1000,#MSG_GROUP_FAULTS#,16,Yedek - 1 Ariza,Custom - 1 Alarm,Трев по желан 1,Трив по бажан1,Personn. - 1 Alm,ALARM - VLASTNY1
1000,#MSG_GROUP_FAULTS#,16,Yedek - 2 Ariza,Custom - 2 Alarm,Трев по желан 2,Трив по бажан2,Personn. - 2 Alm,ALARM - VLASTNY2
1000,#MSG_GROUP_FAULTS#,16,Maks. Kalkis Ad.,Max. Start Nmb.,Макс Пуск в час,МаксЗапВгодину,Nbr Max Demarr.,MAX POCIAT CISLO
1000,#MSG_GROUP_FAULTS#,16,Cik.Sens. Hatasi,Press.Sens Alarm,Ошибка датчика1,Помилка датч1,Alm Capt. Press.,CHYB SENZOR TLAK
1000,#MSG_GROUP_FAULTS#,16,Ic Sensor Hatasi,Int. Sens Alarm,Ошибка датчика2,Помилка датч2,Alm Capt. Int.,CHYBA INTER SENZ
1000,#MSG_GROUP_FAULTS#,16,Min Bsn Ulasildi,Reached MinPress,Достиг МинДавл,Досягн МінТиск,PressMinAtteinte,DOSIAH MIN. TLAK
1000,#MSG_GROUP_FAULTS#,16,Servis Seviye2,Service Level2,Сервис обсл2,Сервіс обсл2,Niveau2 Service,UROVEN SLUZBY 2
1000,#MSG_GROUP_FAULTS#,16,Servis Seviye3,Service Level3,Сервис обсл3,Сервіс обсл3,Niveau3 Service,UROVEN SLUZBY 3
1000,#MSG_GROUP_FAULTS#,16,Servis Seviye4,Service Level4,Сервис обсл4,Сервіс обсл4,Niveau4 Service,UROVEN SLUZBY 4
1000,#MSG_GROUP_FAULTS#,16,Servis Seviye5,Service Level5,Сервис обсл5,Сервіс обсл5,Niveau5 Service,UROVEN SLUZBY 5
1000,#MSG_GROUP_FAULTS#,16,Vr Yuksek Ariza,Vr High Alarm,ТревВысФаза R,ТривВисФаза R,Alarme Vr Ht,ALARM -VYSOKY Vr
1000,#MSG_GROUP_FAULTS#,16,Vs Yuksek Ariza,Vs High Alarm,ТревВысФаза S,ТривВисФаза S,Alarme Vs Ht,ALARM -VYSOKY Vs
1000,#MSG_GROUP_FAULTS#,16,Vt Yuksek Ariza,Vt High Alarm,ТревВысФаза T,ТривВисФаза T,Alarme Vt Ht,ALARM -VYSOKY Vt
1000,#MSG_GROUP_FAULTS#,16,Vr Dusuk Ariza,Vr Low Alarm,ТревНизФаза R,ТривНизФаза R,Alarme Vr Basse,ALARM - NIZKY Vr
1000,#MSG_GROUP_FAULTS#,16,Vs Dusuk Ariza,Vs Low Alarm,ТревНизФаза S,ТривНизФаза S,Alarme Vs Basse,ALARM - NIZKY Vs
1000,#MSG_GROUP_FAULTS#,16,Vt Dusuk Ariza,Vt Low Alarm,ТревНизФаза T,ТривНизФаза T,Alarme Vt Basse,ALARM - NIZKY Vt
1000,#MSG_GROUP_FAULTS#,16,Faz Sirasi - AI,Phase Seq - AI,Порядок фаз - AI,Порядок фаз - AI,Alm - Seq. Phase,PORADIE FAZ - AI
1000,#MSG_GROUP_FAULTS#,16,PTC Arizasi,PTC Alarm,Тревога PTC,Тривога PTC,Alarme PTC,ALARM PTC
1000,#MSG_GROUP_FAULTS#,16,Acil Stop,Emergency Stop,Аварийная кнопка,Аварійна кнопка,Arret Urgence,NUDZOVE ZASTAVEN
1000,#MSG_GROUP_FAULTS#,16,Sicaklik1 Hatasi,Temperatr1 Alarm,ДатчТемп1Неиспра,ДатчТемп1Несправ,Alarme Temperat1,CHYBA MERAN TEP1
1000,#MSG_GROUP_FAULTS#,16,Sicaklik2 Hatasi,Temperatr2 Alarm,ДатчТемп2Неиспра,ДатчТемп2Несправ,Alarme Temperat2,CHYBA MERAN TEP2
1000,#MSG_GROUP_FAULTS#,16,Sck2 Ust Ariza,Temp2 High Alarm,ТревВыскТемп2,ТривВискТемп2,Alarme Temp2 Ht,ALM-VYSOK TEPLO2
1000,#MSG_GROUP_FAULTS#,16,Sck2 Alt Ariza,Temp2 Low Alarm,Трев Низ Темп2,ТривНизТемп2,Alm Temp2 Basse,ALM-NIZKA TEPLO2
1000,#MSG_GROUP_FAULTS#,16,Yuksek Fre.Ariza,High Freq. Alarm,Трев Выс Частота,Трив Вис Частота,Alarme Freq. Ht,ALM-VYS FREKVENC
1000,#MSG_GROUP_FAULTS#,16,Dusuk Fre.Ariza,Low Freq. Alarm,Трев Низ Частота,Трив Низ Частота,Alm Freq. Basse,ALM-NIZKA FEKVEN
1000,#MSG_GROUP_FAULTS#,16,Faz Dengesizligi,Phase Unbalance,Перекос фаз,Перекос фаз,Desequ. Phase,ROZVAZENOST FAZ
1000,#MSG_GROUP_FAULTS#,16,Yag Bsn. Ariza,Oil Press. Alarm,ТревДавленМасла,ТривТискМасла,Alm Press. Huile,ALARM-TLAK OLEJA
1000,#MSG_GROUP_FAULTS#,16,Inver. Hab.Ariza,Inver. Com.Alarm,ТревСвязьИнверте,ТривЗвязкІнверто,Alm Com. Inver.,ALM-KOM S MENICO
1000,#MSG_GROUP_FAULTS#,16,Inver. Gen.Ariza,Inver. Gen.Alarm,ИнвертерОбщТрев,ІнверторЗагТрив,Alm Gen. Inver.,ALM-GENERTR MENI
1000,#MSG_GROUP_FAULTS#,16,Kapak Acik Ariza,Door Open Alarm,Дверь открыта,Двері відкриті,Alm Porte Ouv.,ALM-OTVORE DVERE
2004,#MSG_GROUP_FAULTS#,16,Cakisma Hata-ID,ID Conflict,ID Conflict,ID Conflict,Conflit ID,Conflit ID
2004,#MSG_GROUP_FAULTS#,16,Cakisma Hata-Yuk,P-Load Conflict,P-Load Conflict,P-Load Conflict,Conflit P-Charg.,Conflit P-Charg.
2004,#MSG_GROUP_FAULTS#,16,Cakisma Hata-Bos,P-Idle Conflict,P-Idle Conflict,P-Idle Conflict,Conflit P-Idle,Conflit P-Idle
1017,#MSG_GROUP_FAULTS#,16,Dusuk Basinc Arz,Low Press. Alarm,Low Press. Alarm,Low Press. Alarm,Alm Press. Basse,Alm Press. Basse
1000,#MSG_GROUP_ALARM#,16,Ariza Yok   ,No Alarm,Нет неиспр.,Нема помил,Aucune alarme,BEZ ALARMU
1000,#MSG_GROUP_UNITS#,3,ms ,ms ,мс,мс,ms,MS
1000,#MSG_GROUP_UNITS#,3,sn ,sec,сек,сек,sec,SEK
1000,#MSG_GROUP_UNITS#,3,dk ,min,мин,хв,min,MIN
1000,#MSG_GROUP_UNITS#,3,sa ,hr ,час,год,h,HOD
1000,#MSG_GROUP_YESNO#,10,Hayir,No,Нет,Ні,Non,NIE
1000,#MSG_GROUP_YESNO#,10,Evet   ,Yes,Да,Так,Oui,ANO
1000,#MSG_GROUP_FACPARAMS#,10,Hayir,No,Нет,Ні,Non,NIE
1000,#MSG_GROUP_FACPARAMS#,10,ENKO ,ENKO,ENKO,ENKO,ENKO ,ENKO
1000,#MSG_GROUP_FACPARAMS#,10,K.Tanimli,U.Defined,Оп. Польз,Вияв. Корист,U.Definie,UZIV DEFIN
1000,#MSG_GROUP_SAVE#,10,Hayir  ,No ,Нет,Ні,Non,NIE
1000,#MSG_GROUP_SAVE#,10,Yedekle,Backup,Резерв.,Резерв.,Backup,ZALOHOVANI
1000,#MSG_GROUP_SAVE#,10,Kullan ,Use,Использ,Викорис,Utilis.,POUZIT
1000,#MSG_GROUP_PRESSURE#,10,Pasif,Passive,Пассивныи,Пасивний,Passif,PASIVNE
1000,#MSG_GROUP_PRESSURE#,10,Adim,Step,Шаг,Крок,Etape,KROK
1000,#MSG_GROUP_PRESSURE#,10,Egim,Slope,Склон,Slope,Gradient,NADOL
1000,#MSG_GROUP_COMPANSATION#,10,Pasif,Passive,Пассивныи,Пасивний,Passif,PASIVNE
1000,#MSG_GROUP_COMPANSATION#,10,Aktif,Active,Активныи,Активний,Actif,AKTIVNE
1000,#MSG_GROUP_HORNMODE#,10,Surekli,Continuous,Непрерывнo,Безперер,Continu,KONTINUALN
1000,#MSG_GROUP_HORNMODE#,10,Darbeli,Pulse,Импульс,Імпульс,Impulsion,PULZNE
1000,#MSG_GROUP_LANGUAGE#,10,Turkce   ,Turkish ,Tурецкии,Турецький,Turc,TURECKY
1000,#MSG_GROUP_LANGUAGE#,10,ingilizce,English ,Aнглииски,Англійський,Anglais,ANGLICKY
1000,#MSG_GROUP_LANGUAGE#,10,K.Tanimli,U.Defined,Оп. Польз,Об.Корист,U.Definie,UZIV DEFIN
1000,#MSG_GROUP_PASSERROR#,16,Hatali Sifre  ,Wrong Password,Неправ. Пароль,НевірнийПароль,Mdp incorrect,CHYBNE HESLO
1000,#MSG_GROUP_PARAMTITLE#,16,Parametreler    ,Parameters,Параметры,Параметри,Paramètres,PARAMETRE
1000,#MSG_GROUP_COMPCOUNTERS#,5,S/S =,S/S =,S/S =,S/S =,S/S =,S/S =
1000,#MSG_GROUP_COMPCOUNTERS#,5,OLT =,OLT =,OLT =,OLT =,OLT =,OLT =
1000,#MSG_GROUP_DYNPASS_OPTIONS#,9,Pasif,Passive,Пассивный,Пасивний,Passif,PASIVNY
1000,#MSG_GROUP_DYNPASS_OPTIONS#,9,Tales,Thales,История,Історія,Thalès,THALES
1000,#MSG_GROUP_DYNPASS_OPTIONS#,9,Kopernik,Copernicus,Коперник,Copernicus,Copernic,KOPERNIK
1000,#MSG_GROUP_DYNPASS_OPTIONS#,9,Galileo,Galileo,Галилео,Galileo,Galilee,GALILEO
1000,#MSG_GROUP_DYNPASS_OPTIONS#,9,Kepler,Kepler,Кеплер,Kepler,Kepler,KEPLER
1000,#MSG_GROUP_DYNPASS_OPTIONS#,9,Newton,Newton,Ньютон,Newton,Newton,NEWTON
1000,#MSG_GROUP_DYNPASS_OPTIONS#,9,Orsted,Orsted,Эрстед,Orsted,Orsted,ORSTED
1000,#MSG_GROUP_DYNPASS_OPTIONS#,9,Ampera,Ampera,Ампер,Ampera,Ampère,AMPERA
1000,#MSG_GROUP_DYNPASS_OPTIONS#,9,Lenz,Lenz,Ленц,Lenz,Lenz,LENZ
1000,#MSG_GROUP_DYNPASS_OPTIONS#,9,Faraday,Faraday,Фарадей,Faraday,Faraday,FARADAY
1000,#MSG_GROUP_DYNPASS_OPTIONS#,9,Maxwell,Maxwell,Максвелл,Maxwell,Maxwell,MAXWELL
1000,#MSG_GROUP_PASSWORD_CODE#,9,Kod:,Code:,Код:,Код:,Code :,KOD:
1000,#MSG_GROUP_PSWD_CODE_OPT#,13,Kullanici,User,Пользователь,Користувач,Utilisateur,UZIVAZEL
1000,#MSG_GROUP_PSWD_CODE_OPT#,13,Servis,Service,Сервисный,Сервісний,Service,SERVIS
1000,#MSG_GROUP_PSWD_CODE_OPT#,13,Fabrika,Factory,Заводской,Заводс.,Usine,TOVAREN
1000,#MSG_GROUP_INV_MODEL#,10,Yld-Ucgen,StarDelta,StarDelta,StarDelta,StarDelta,HVIE-TROJU
1000,#MSG_GROUP_INV_MODEL#,10,MITF800,MITF800,MITF800,MITF800,MITF800,MITF800
1000,#MSG_GROUP_INV_MODEL#,10,ACS580,ACS580,ACS580,ACS580,ACS580,ACS580
1000,#MSG_GROUP_INV_MODEL#,10,Ykw.A1000,Ykw.A1000,Ykw.A1000,Ykw.A1000,Ykw.A1000,Ykw.A1000
1000,#MSG_GROUP_INV_MODEL#,10,DnfsFC102,DnfsFC102,DnfsFC102,DnfsFC102,DnfsFC102,DnfsFC102
2004,#MSG_GROUP_CPCA#,16,Calisma Modu,Operating Mode,Operating Mode,Режим роботи,Mode Operat.,Mode Opérat.
2004,#MSG_GROUP_CPCA#,5,P266>,P266>,P266>,P266>,P266>,P266>
2004,#MSG_GROUP_CPCA#,16,Cihaz ID,Unit ID,Unit ID,Unit ID,ID Unite,ID Unité
2004,#MSG_GROUP_CPCA#,5,P267>,P267>,P267>,P267>,P267>,P267>
2004,#MSG_GROUP_CPCA#,16,Yaslanma Cznrlk.,Aging Resolution,Aging Resolution,Aging Resolution,Interv.Fct.Reg.,Interv.Fct.Rég.
2004,#MSG_GROUP_CPCA#,5,P268>,P268>,P268>,P268>,P268>,P268>
2004,#MSG_GROUP_CPCA#,16,Dinlenme Zamani,Rest Time,Rest Time,Rest Time,Temps de Repos,Temps de Repos
2004,#MSG_GROUP_CPCA#,5,P269>,P269>,P269>,P269>,P269>,P269>
2004,#MSG_GROUP_CPCA#,16,Max Calisma,Max Run Time,Max Run Time,Макс. Час роботи,Tps Fonct. Max,Tps Fonct. Max
2004,#MSG_GROUP_CPCA#,5,P270>,P270>,P270>,P270>,P270>,P270>
2004,#MSG_GROUP_CPCA#,16,Ofset Zamani,Time Offset,Time Offset,Time Offset,Decalage Tps,Décalage Tps
2004,#MSG_GROUP_CPCA#,5,P271>,P271>,P271>,P271>,P271>,P271>
2004,#MSG_GROUP_CPCA#,16,Zaman Asimi,Timeout,Timeout,Timeout,Delai,Délai
2004,#MSG_GROUP_CPCA#,5,P272>,P272>,P272>,P272>,P272>,P272>
2004,#MSG_GROUP_CPCA#,16,Hedef Sure,Target Time,Target Time,Цільовий час,Heure Cible,Heure Cible
2004,#MSG_GROUP_CPCA#,5,P273>,P273>,P273>,P273>,P273>,P273>
2004,#MSG_GROUP_CPCA#,16,Devreye Alma,Working Query,Working Query,Робочий запит,Requete Trav.,Requête Trav.
2004,#MSG_GROUP_CPCA#,5,P274>,P274>,P274>,P274>,P274>,P274>
2004,#MSG_GROUP_CPCA#,16,Devreden Cikma,Stopping Query,Stopping Query,Зупинка запит,Requete Arret,Requête Arrêt
2004,#MSG_GROUP_CPCA#,5,P275>,P275>,P275>,P275>,P275>,P275>
2004,#MSG_GROUP_CPCA#,16,BosaGecmeOfset,P-Idle Offset,P-Idle Offset,P-Idle Offset,Decalage P-Idle,Décalage P-Idle
2004,#MSG_GROUP_CPCA#,5,P276>,P276>,P276>,P276>,P276>,P276>
2004,#MSG_GROUP_CPCA#,16,Top.CihazSayisi,Total Units,Total Units,Всього одиниць,Total Unites,Total Unités
2004,#MSG_GROUP_CPCA#,5,P277>,P277>,P277>,P277>,P277>,P277>
2004,#MSG_GROUP_CPCA#,16,EsZamanliCihaz,Concurrent Units,Concurrent Units,Паралел одиниці,Unites Concurr.,Unités Concurr.
2004,#MSG_GROUP_CPCA#,5,P278>,P278>,P278>,P278>,P278>,P278>
2004,#MSG_GROUP_CPCA_MON#,3,ID:    ,ID:    ,ID:    ,ID:    ,ID:    ,ID:    
2004,#MSG_GROUP_CPCA_MON#,4,Yas:   ,Age:   ,Age:   ,Age:    ,Age:,Âge:
2004,#MSG_GROUP_CPCA_MON#,6,Durum: ,State: ,State: ,State: ,Etat:,État:
2004,#MSG_GROUP_CPCA_STATE#,9,SENKRON,SYNCING,SYNCING,Синхрон,SYNC,SYNC
2004,#MSG_GROUP_CPCA_STATE#,9,BLOKLU,BLOCKED,BLOCKED,Заблок,BLOQUE,BLOQUÉ
2004,#MSG_GROUP_CPCA_STATE#,9,HATA,FAULT,FAULT,Помилка,DEFAUT,DÉFAUT
2004,#MSG_GROUP_CPCA_STATE#,9,HAZIR,STANDBY,STANDBY,Очікув,VEILLE,VEILLE
2004,#MSG_GROUP_CPCA_STATE#,9,DINLENME,RESTING,RESTING,Відпоч,REPOS,REPOS
2004,#MSG_GROUP_CPCA_STATE#,9,BASLAMA,STARTING,STARTING,Запуск,DEMARRAGE,DÉMARRAGE
2004,#MSG_GROUP_CPCA_STATE#,9,GECIS,TRANSFER,TRANSFER,Передача,TRANSFERT,TRANSFERT
2004,#MSG_GROUP_CPCA_STATE#,9,CALISMA,RUNNING,RUNNING,В роботі,MARCHE,MARCHE
2004,#MSG_GROUP_CPCA_MODE#,10,E.Yaslan,E.Aging,Aging,E.Aging,Fct. Reg.,Fct. Rég.
2004,#MSG_GROUP_CPCA_MODE#,10,Ener.Ts.,P. Save,P. Save,P. Save,P. Save,P. Save
